path,item_type,used_in_paper,should_be_used_in_paper,generated_by,experiment_family,status,meaning,paper_priority,notes
patch_transfer_morphology_plots/,folder,Yes (Figs 17-19),Yes,patch transfer analysis script,morphology,FINAL,Area/count transfer fidelity plots,P1-Main,7 files
patch_transfer_morphology_montages/,folder,No,Maybe (appendix),montage script,morphology,FINAL,Visual montages of patch transfer results,P3-Supporting,2 subdirs (analysis/ + montages/)
patch_transfer_morphology_filled/,folder,No,No,filled morphology script,morphology,DIAGNOSTIC,Filled morphology variant visualization,P4-Diagnostic,Alternative rendering approach
teacher_student_figures/,folder,Yes (Figs 5-6; 16),Yes,teacher-student evaluation script,distillation,FINAL,Teacher-student comparison montages and plots,P1-Main,"montage + examples/ + plots/ + summary"
patches/,folder,No (infrastructure),No,patchification script,training_data,FINAL,512×512 training patches for UNet student,Infrastructure,images/ + masks/
param_predictor/,folder,No,No (future work),N/A,future_work,NOT STARTED,Placeholder for amortized parameter prediction,P4-Future work,EMPTY directory
experiment_summary_master/,folder,No,No,prior session,documentation,PARTIAL,Prior experiment summarization attempt,P4-Reference,6 subdirs; earlier attempt
patch_local_opt_v2.csv,CSV,Yes (Table III),Yes,local optimization script,morphology,FINAL,Per-patch local re-optimization results (150 patches),P1-Main,15 leaves × 10 patches each
patch_transfer_morphology_eval.csv,CSV,Yes (Table III),Yes,evaluation script,morphology,FINAL,Morphology-focused evaluation metrics,P1-Main,Area/count metrics for 150 patches
patch_transfer_morphology_summary.txt,TXT,No,No,evaluation script,morphology,FINAL,Summary statistics text file,P3-Reference,Human-readable summary
threshold_sweep.csv,CSV,Yes (Fig 4),Yes,threshold sweep script,distillation,FINAL,Threshold sweep across probability maps,P1-Main,Best at thr=0.3
threshold_sweep_plot.png,PNG,Yes (Fig 4),Yes,plot script,distillation,FINAL,Threshold sweep visualization,P1-Main,Dice vs threshold curve
teacher_student_metrics.csv,CSV,Yes (Sec 8.1),Yes,evaluation script,distillation,FINAL,Baseline teacher-student Dice/IoU for 174 leaves,P1-Main,"Mean Dice 0.598; 18 failures"
teacher_student_metrics_roi_thr0p30.csv,CSV,Yes (Sec 8.1),Yes,evaluation script,distillation,FINAL,ROI-gated teacher-student metrics,P1-Main,"Mean Dice 0.599; negligible ROI effect"
failures_dice_lt_0p3.csv,CSV,Yes (Discussion),Yes,failure analysis script,diagnostics,FINAL,18 failure cases with Dice < 0.3,P2-Appendix,"12/18 are teacher-empty"
teacher_empty_cases.csv,CSV,Yes (Discussion),Yes,failure analysis script,diagnostics,FINAL,12 teacher-empty/student-nonempty disagreements,P2-Appendix,Dominant failure mode
postprocess_sweep.csv,CSV,No,Maybe (appendix),postprocess sweep script,diagnostics,FINAL,Post-processing parameter sweep results,P3-Diagnostic,Not currently in paper
paper_disagreement_montage_roi_thr0p30.png,PNG,Yes (Fig 6),Yes,montage script,distillation,FINAL,Disagreement montage visualization,P1-Main,Teacher-empty/student-nonempty cases
representative_trace_audit.txt,TXT,No,No (documentation),audit script,documentation,DOCUMENTATION,Audit of 9-leaf trace study provenance,Documentation,Verifies clean provenance
representative_trace_provenance.csv,CSV,No,No (documentation),audit script,documentation,DOCUMENTATION,Per-case provenance table for 9-leaf study,Documentation,9 rows; all safe for main paper
outputs_audit_resume_status.txt,TXT,No,No,prior session,documentation,DOCUMENTATION,Resume status from prior audit session,Documentation,Session tracking
outputs_inventory_detailed.md,MD,No,No,prior session,documentation,DOCUMENTATION,Prior inventory of outputs,Documentation,Earlier inventory attempt
outputs_inventory_summary.txt,TXT,No,No,prior session,documentation,DOCUMENTATION,Prior inventory summary,Documentation,Earlier summary
outputs_inventory_table.csv,CSV,No,No,prior session,documentation,DOCUMENTATION,Prior inventory table,Documentation,Earlier table
montage_patch_opt_DSC_0060_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage,P4-Diagnostic,Visual diagnostic
montage_patch_opt_DSC_0223_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage,P4-Diagnostic,Visual diagnostic
montage_patch_opt_DSC_0242_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage,P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0060_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0118_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0149_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0172_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0180_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0185_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0210_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0223_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0235_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0242_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0260_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0261_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0267_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0268_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
montage_patch_opt_v2_DSC_0370_segment_1_segmented_smoothed.png,PNG,No,No,montage script,diagnostics,DIAGNOSTIC,Per-leaf patch optimization montage (v2),P4-Diagnostic,Visual diagnostic
_make_analysis_pdfs.py,Python,No,No,developer,infrastructure,INFRASTRUCTURE,Script for generating analysis PDF reports,Infrastructure,Utility script
experiments/,folder,No,No,Various,meta,INFRASTRUCTURE,Subdirectory with experiment configs/scripts,Infrastructure,Contains experiment infrastructure
