figure_name,current_or_candidate,source_path,produced_by,paper_section,what_it_shows,how_to_read_it,main_takeaway,main_or_appendix,notes
Fig 14 — Mean delta parameters,Current,parameter_shift_manifold_geometry/plots/mean_delta_parameters.png (copied to figs_from_outputs/manifold/mean_delta_parameters.png),manifold geometry script,Results 8.5,Bar chart of mean parameter shift (global to local),Each bar = one parameter; height = mean shift magnitude,Energy threshold dominates — local re-opt primarily adjusts edge sensitivity,Main,Identifies the key parameter for local adaptation
Fig 15 — Covariance ellipsoids,Current,parameter_shift_3d_analysis_solid/pca3d_covariance_ellipsoids.png (copied to figs_from_outputs/solid3d/pca3d_covariance_ellipsoids.png),solid 3D script,Results 8.5,2-sigma covariance ellipsoids in PCA space for global (blue) and local (red) clouds,Star markers = centroids; black arrow = shift direction; ellipsoids show spread,Overlapping but displaced — similar curvature at both scales,Main,Volumetric evidence for structured parameter organization
Fig 16 — Qualitative grid,Current,teacher_student_figures/ (copied to figs_from_outputs/exp_v1/qual_grid_teacher_student.png),teacher-student eval script,Results 8.6,6-row grid spanning Dice spectrum: input/teacher-overlay/student-overlay/masks,Rows sorted worst to best; 5 columns per row,Visual range from total failure to high agreement,Main (2-column),Comprehensive qualitative overview
Fig 17 — Area fraction error hist,Current,patch_transfer_morphology_plots/hist_area_frac_error.png (copied to figs_from_outputs/exp_v1/hist_area_frac_error.png),morphology script,Discussion,Distribution of signed area-fraction error for global and local params,X = error; Y = count; left-skewed = underestimation,Both global and local systematically underestimate area,Main,Evidence for area underestimation under patchification
Fig 18 — Count error hist,Current,patch_transfer_morphology_plots/hist_count_error.png (copied to figs_from_outputs/exp_v1/hist_count_error.png),morphology script,Discussion,Distribution of signed lesion-count error,X = error; Y = count; local is closer to zero,Local re-opt reduces mean count error by 35%,Main,Evidence for local re-opt benefit
Fig 19 — Teacher vs pred area scatter,Current,patch_transfer_morphology_plots/scatter_teacher_vs_pred_area_frac.png (copied to figs_from_outputs/exp_v1/scatter_teacher_vs_pred_area_frac.png),morphology script,Discussion,Teacher vs predicted area fraction scatter,Points below diagonal = underestimation; both cluster well below,Context-dependent area loss under patchification,Main,Visual confirmation of systematic underestimation
Fig A1 — n_c and area histograms,Current,optimizer_summary/ (copied to figs_from_outputs/exp_v1/),summarize_optimizer.py,Appendix A,Distribution of connected-component counts and mask areas,Two panels: (a) n_c hist; (b) area_px hist,Output morphology distributions for phenotyping context,Appendix,Useful for downstream trait extraction
Fig A2 — Parameter histograms,Current,optimizer_summary/ (copied to figs_from_outputs/exp_v1/),summarize_optimizer.py,Appendix A,Empirical distributions of all 7 optimized parameters,7 sub-panels (a-g); each shows parameter range and spread,Parameter ranges and modes documented for reproducibility,Appendix,7 parameters across 174 images
Fig B1-B3 — Additional trajectories,Current,objective_surface_traces_representative_fullbudget_9leaf/trajectory_plots/ (copied to figs_from_outputs/9leaf/),reconstruction script,Appendix B,Convergence trajectories for remaining 6 leaves (2 per tier),Same format as Fig 12; paired by score tier,Confirms tier-dependent convergence pattern across all 9 leaves,Appendix,Extends Fig 12 evidence
Fig C1 — Convex hulls + dD surfaces,Current,parameter_shift_3d_analysis_solid/ (copied to figs_from_outputs/solid3d/),solid 3D script,Appendix C,Convex hulls and positive/negative dD surfaces in PCA space,Two panels: (a) global/local hulls; (b) positive/negative dD,Volumetric extent and partial dD-group separation,Appendix,Supplements Fig 15
Fig C2 — t-SNE + centroid groups,Current,parameter_shift_manifold_geometry/plots/ (copied to figs_from_outputs/manifold/),manifold geometry script,Appendix C,t-SNE of delta vectors + PCA centroid shift by dD group,Two panels: (a) t-SNE colored by dD group; (b) group-level centroids,Nonlinear structure confirms linear PCA findings,Appendix,Validates manifold analysis beyond PCA
